dni;nombreMateria;fecha;nota;aprobacion
42123455;Sistemas Digitales;22/07/2022;9;P
44666213;Programacion Orientada a Objetos;04/07/2022;7;E
44666213;Estructura y Func. de comp. II;05/07/2022;2;E
41897333;Redes;01/06/2022;8;E
42123455;Programacion Procedural;04/04/2022;7;P
34111222;Algoritmos Numericos;04/04/2022;2;E
44693555;Estructura y Func. de comp. I;30/05/2022;8;X
34699111;Inteligencia Artificial;01/05/2022;9;P
44666213;Estructura y Func. de comp. II;01/06/2022;2;E
42123455;Algoritmos y Resolucion de Problemas;03/06/2022;4;E
44666213;Aspectos Profesionales y Sociales;05/07/2022;7;E
